5/168,259/498,216/337,129/478,381/436,266/303,6/127,78/179,31/480,144/307,210/341,43/474,174/443,172/379,271/348,41/88
162/461,212/319,287/486,74/265,57/410,185/344,85/178,71/386,187/326,426/431,156/175,28/211,115/472,14/249,186/277,109/432
123/256,224/403,217/354,146/447,84/347,52/275,48/199,135/506,434/467,95/252,4/251,131/398,122/155,343/430,46/291,328/479
64/333,368/501,159/362,191/488,228/371,193/384,60/233,154/295,82/243,286/483,138/229,33/494,223/330,218/505,29/340,108/281
62/141,91/452,352/411,87/332,34/313,111/202,103/504,133/492,65/142,36/323,418/465,345/394,67/422,209/408,105/248,206/297
12/349,213/236,42/331,106/153,47/456,58/503,63/124,476/507,97/360,92/367,49/298,414/415,357/466,246/437,113/254,99/320
22/119,197/302,114/245,278/279,361/482,203/404,90/413,182/309,294/493,126/457,45/446,130/391,93/484,73/450,388/425,44/339
190/221,68/489,94/435,86/335,161/222,10/283,169/406,104/399,16/455,284/315,373/512,89/120,242/405,305/424,102/353,83/460
255/304,55/268,51/380,208/219,237/350,200/409,363/416,35/234,272/485,39/98,118/429,134/195,27/448,117/356,165/442,40/509
364/453,21/220,232/407,80/439,184/369,230/433,107/288,227/316,355/428,112/445,282/497,310/449,132/475,17/490,18/293,231/470
239/336,263/440,72/487,128/365,77/240,420/463,13/366,59/244,50/183,32/81,301/444,148/389,382/495,69/400,247/508,226/481
143/300,38/375,188/241,412/511,53/454,180/377,171/296,163/390,150/419,151/500,306/499,125/378,338/451,116/473,75/376,149/438
273/290,15/238,3/196,37/374,214/427,101/318,262/351,2/469,257/396,329/468,26/225,204/253,471/496,100/267,23/158,285/346
110/269,9/292,250/477,205/324,401/462,7/334,258/395,157/358,70/261,56/459,215/402,79/502,173/510,264/289,392/423,96/385
20/121,207/260,274/417,176/321,136/311,147/370,325/342,314/441,8/181,54/167,1/192,11/270,30/397,198/299,170/387,145/166
76/393,372/421,61/312,19/458,25/308,139/276,201/464,160/189,280/359,194/383,140/491,66/137,24/317,177/322,152/235,164/327
